"district","county","year","sex","grade_level","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","number_healthy_weight","percent_healthy_weight","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis","num_free_lunch","num_reduced_lunch"
10601,"ALBANY",2013,"MALE","MIDDLE/HIGH",86,20.8,40,9.7,126,30.4,269,0.65,408,351,310,7,3565,2403,2458,86,220,668,1237,847,262
10601,"ALBANY",2017,"MALE","MIDDLE/HIGH",86,20.8,40,9.7,126,30.4,269,0.65,495,360,363,4,3258,2413,2420,122,353,736,1723,1354,193
10623,"ALBANY",2014,"FEMALE","ELEMENTARY",59,20.5,44,15.3,103,35.8,173,0.601,757,278,231,9,3929,2613,2758,167,167,742,1025,690,141
10623,"ALBANY",2012,"FEMALE","ELEMENTARY",59,20.5,44,15.3,103,35.8,173,0.601,648,303,214,4,4126,2624,2805,164,134,761,787,528,210
10623,"ALBANY",2015,"FEMALE","ELEMENTARY",59,20.5,44,15.3,103,35.8,173,0.601,848,263,274,11,3920,2711,2800,179,195,754,1139,789,158
10623,"ALBANY",2016,"FEMALE","ELEMENTARY",59,20.5,44,15.3,103,35.8,173,0.601,920,278,290,13,3821,2771,2773,223,222,735,1201,815,165
10623,"ALBANY",2013,"FEMALE","ELEMENTARY",59,20.5,44,15.3,103,35.8,173,0.601,705,281,214,7,3989,2580,2767,150,151,747,766,481,146
10623,"ALBANY",2017,"FEMALE","ELEMENTARY",59,20.5,44,15.3,103,35.8,173,0.601,1009,319,301,14,3777,2866,2819,273,265,750,1349,1036,181
10623,"ALBANY",2014,"MALE","ELEMENTARY",61,13.3,70,15.3,131,28.7,307,0.672,757,278,231,9,3929,2613,2758,167,167,742,1025,690,141
10623,"ALBANY",2012,"MALE","ELEMENTARY",61,13.3,70,15.3,131,28.7,307,0.672,648,303,214,4,4126,2624,2805,164,134,761,787,528,210
10623,"ALBANY",2015,"MALE","ELEMENTARY",61,13.3,70,15.3,131,28.7,307,0.672,848,263,274,11,3920,2711,2800,179,195,754,1139,789,158
10623,"ALBANY",2016,"MALE","ELEMENTARY",61,13.3,70,15.3,131,28.7,307,0.672,920,278,290,13,3821,2771,2773,223,222,735,1201,815,165
10623,"ALBANY",2013,"MALE","ELEMENTARY",61,13.3,70,15.3,131,28.7,307,0.672,705,281,214,7,3989,2580,2767,150,151,747,766,481,146
10623,"ALBANY",2017,"MALE","ELEMENTARY",61,13.3,70,15.3,131,28.7,307,0.672,1009,319,301,14,3777,2866,2819,273,265,750,1349,1036,181
10623,"ALBANY",2014,"FEMALE","MIDDLE/HIGH",68,16.5,43,10.4,111,26.9,295,0.714,757,278,231,9,3929,2613,2758,167,167,742,1025,690,141
10623,"ALBANY",2012,"FEMALE","MIDDLE/HIGH",68,16.5,43,10.4,111,26.9,295,0.714,648,303,214,4,4126,2624,2805,164,134,761,787,528,210
10623,"ALBANY",2015,"FEMALE","MIDDLE/HIGH",68,16.5,43,10.4,111,26.9,295,0.714,848,263,274,11,3920,2711,2800,179,195,754,1139,789,158
10623,"ALBANY",2016,"FEMALE","MIDDLE/HIGH",68,16.5,43,10.4,111,26.9,295,0.714,920,278,290,13,3821,2771,2773,223,222,735,1201,815,165
10623,"ALBANY",2013,"FEMALE","MIDDLE/HIGH",68,16.5,43,10.4,111,26.9,295,0.714,705,281,214,7,3989,2580,2767,150,151,747,766,481,146
10623,"ALBANY",2017,"FEMALE","MIDDLE/HIGH",68,16.5,43,10.4,111,26.9,295,0.714,1009,319,301,14,3777,2866,2819,273,265,750,1349,1036,181
10623,"ALBANY",2014,"MALE","MIDDLE/HIGH",74,16.8,81,18.4,155,35.1,272,0.617,757,278,231,9,3929,2613,2758,167,167,742,1025,690,141
10623,"ALBANY",2012,"MALE","MIDDLE/HIGH",74,16.8,81,18.4,155,35.1,272,0.617,648,303,214,4,4126,2624,2805,164,134,761,787,528,210
10623,"ALBANY",2015,"MALE","MIDDLE/HIGH",74,16.8,81,18.4,155,35.1,272,0.617,848,263,274,11,3920,2711,2800,179,195,754,1139,789,158
